온도,A106-B,A312-TP304,A312-TP316,A312-TP304L,A312-TP316L
40,138,138,138,115,115
65,138,138,138,115,115
100,138,138,138,115,115
125,138,138,138,115,115
150,138,138,138,115,115
175,138,134,138,114,113
200,138,129,134,110,109
225,135,125,129,106,106
250,132,122,125,103,103
275,129,119,122,99.9,100
300,126,116,119,97.7,98.1
325,122,113,116,95.7,96.1
350,118,111,114,94.1,94.3
375,113,109,112,92.6,92.6
400,95.1,107,111,91.3,90.9
425,79.5,105,110,90,89.3
450,62.6,103,109,88.7,87.6
475,45,101,108,87.3,85.9
500,31.7,99.1,107,85.6,84.2
525,21.4,97.3,106,83.7,82.5
550,14.2,95.5,105,81.4,80.8
575,9.4,78.9,97.8,40.4,79.3
600,6.89,63.8,80.8,33.2,77.9
625,None,51.6,65,26.7,58
650,None,41.6,50.4,21.9,43.6
675,None,32.9,38.6,18.2,33
700,None,26.5,29.6,15,25.3
725,None,21.3,23,12.4,18.8
750,None,17.2,17.4,8.87,14
775,None,14.1,13.3,7.2,10.4
800,None,11.2,10.4,6.58,7.99
825,None,9.65,8.96,6.21,6.89
