연도,제품그룹,count
2019,A,5
2019,B,23
2019,C,34
2019,D,25
2019,E,104
2019,ETC,8
2019,F,9
2019,G,70
2019,H,9
2019,I,163
2019,J,18
2019,K,60
2019,L,44
2019,M,21
2019,O,8
2019,R,3
2019,S,54
2020,A,2
2020,B,26
2020,C,33
2020,D,39
2020,E,98
2020,ETC,4
2020,F,12
2020,G,57
2020,H,9
2020,I,113
2020,J,39
2020,K,62
2020,L,48
2020,M,18
2020,O,6
2020,R,5
2020,S,59
2021,A,3
2021,B,21
2021,C,49
2021,D,52
2021,E,111
2021,ETC,4
2021,F,9
2021,G,47
2021,H,9
2021,I,89
2021,J,36
2021,K,73
2021,L,51
2021,M,18
2021,O,3
2021,R,6
2021,S,52
2022,A,10
2022,B,30
2022,C,27
2022,D,42
2022,E,94
2022,ETC,5
2022,F,15
2022,G,80
2022,H,6
2022,I,100
2022,J,30
2022,K,76
2022,L,62
2022,M,8
2022,O,1
2022,R,14
2022,S,45
2023,A,15
2023,B,33
2023,C,28
2023,D,39
2023,E,132
2023,F,7
2023,G,82
2023,H,4
2023,I,148
2023,J,30
2023,K,86
2023,L,56
2023,M,22
2023,O,6
2023,R,14
2023,S,42
2024,A,12
2024,B,16
2024,C,30
2024,D,44
2024,E,102
2024,ETC,1
2024,F,27
2024,G,57
2024,H,18
2024,I,151
2024,J,20
2024,K,55
2024,L,43
2024,M,15
2024,O,2
2024,R,14
2025,A,22
2025,B,27
2025,C,36
2025,D,38
2025,E,131
2025,ETC,6
2025,F,25
2025,G,67
2025,H,8
2025,I,130
2025,J,13
2025,K,74
2025,L,45
2025,M,11
2025,O,5
2025,R,5
